Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C8, C9",0402,6,100n,
"C2, C3",0402,2,10p,
C4,0402,1,1u,
C5,0603,1,22u,
C6,0805,1,22u,
C7,0402,1,10u,
D1,0603,1,LEDR,C2286
D2,0603,1,LEDG,C2986059
J1,PinHeader_2x07_P1.27mm_Vertical,1,Conn_02x07_Odd_Even,C2881789
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
Q3,SOT-23,1,MMBT3904,
R1,0402,1,36k,
"R10, R13, R14, R2, R5",0402,5,10k,
"R12, R6",0402,2,100,
"R15, R16",0402,2,5k1,C25905
R3,0402,1,330,
R4,0402,1,1k5,
"R8, R9",0402,2,1k,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOT-23-6,1,SRV05-4,C7420376
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
